Virtual: 16916, Physical:    20, Value:   0, TLB hit: false, PT hit: false 
Virtual: 62493, Physical:   285, Value:   0, TLB hit: false, PT hit: false 
Virtual: 30198, Physical:   758, Value:  29, TLB hit: false, PT hit: false 
Virtual: 53683, Physical:   947, Value: 108, TLB hit: false, PT hit: false 
Virtual: 40185, Physical:  1273, Value:   0, TLB hit: false, PT hit: false 
Virtual: 28781, Physical:  1389, Value:   0, TLB hit: false, PT hit: false 
Virtual: 24462, Physical:  1678, Value:  23, TLB hit: false, PT hit: false 
Virtual: 48399, Physical:  1807, Value:  67, TLB hit: false, PT hit: false 
Virtual: 64815, Physical:  2095, Value:  75, TLB hit: false, PT hit: false 
Virtual: 18295, Physical:  2423, Value: 221, TLB hit: false, PT hit: false 
Virtual: 12218, Physical:  2746, Value:  11, TLB hit: false, PT hit: false 
Virtual: 22760, Physical:  3048, Value:   0, TLB hit: false, PT hit: false 
Virtual: 57982, Physical:  3198, Value:  56, TLB hit: false, PT hit: false 
Virtual: 27966, Physical:  3390, Value:  27, TLB hit: false, PT hit: false 
Virtual: 54894, Physical:  3694, Value:  53, TLB hit: false, PT hit: false 
Virtual: 38929, Physical:  3857, Value:   0, TLB hit: false, PT hit: false 
Virtual: 32865, Physical:  4193, Value:   0, TLB hit: false, PT hit: false 
Virtual: 64243, Physical:  4595, Value: 188, TLB hit: false, PT hit: false 
Virtual:  2315, Physical:  4619, Value:  66, TLB hit: false, PT hit: false 
Virtual: 64454, Physical:  5062, Value:  62, TLB hit: false, PT hit: false 
Virtual: 55041, Physical:  5121, Value:   0, TLB hit: false, PT hit: false 
Virtual: 18633, Physical:  5577, Value:   0, TLB hit: false, PT hit: false 
Virtual: 14557, Physical:  5853, Value:   0, TLB hit: false, PT hit: false 
Virtual: 61006, Physical:  5966, Value:  59, TLB hit: false, PT hit: false 
Virtual: 62615, Physical:   407, Value:  37, TLB hit: false, PT hit: true 
Virtual:  7591, Physical:  6311, Value: 105, TLB hit: false, PT hit: false 
Virtual: 64747, Physical:  6635, Value:  58, TLB hit: false, PT hit: false 
Virtual:  6727, Physical:  6727, Value: 145, TLB hit: false, PT hit: false 
Virtual: 32315, Physical:  6971, Value: 142, TLB hit: false, PT hit: false 
Virtual: 60645, Physical:  7397, Value:   0, TLB hit: false, PT hit: false 
Virtual:  6308, Physical:  7588, Value:   0, TLB hit: false, PT hit: false 
Virtual: 45688, Physical:  7800, Value:   0, TLB hit: false, PT hit: false 
Virtual:   969, Physical:  8137, Value:   0, TLB hit: false, PT hit: false 
Virtual: 40891, Physical:  8379, Value: 238, TLB hit: false, PT hit: false 
Virtual: 49294, Physical:  8590, Value:  48, TLB hit: false, PT hit: false 
Virtual: 41118, Physical:  8862, Value:  40, TLB hit: false, PT hit: false 
Virtual: 21395, Physical:  9107, Value: 228, TLB hit: false, PT hit: false 
Virtual:  6091, Physical:  9419, Value: 242, TLB hit: false, PT hit: false 
Virtual: 32541, Physical:  9501, Value:   0, TLB hit: false, PT hit: false 
Virtual: 17665, Physical:  9729, Value:   0, TLB hit: false, PT hit: false 
Virtual:  3784, Physical: 10184, Value:   0, TLB hit: false, PT hit: false 
Virtual: 28718, Physical:  1326, Value:  28, TLB hit: false, PT hit: true 
Virtual: 59240, Physical: 10344, Value:   0, TLB hit: false, PT hit: false 
Virtual: 40178, Physical:  1266, Value:  39, TLB hit: false, PT hit: true 
Virtual: 60086, Physical: 10678, Value:  58, TLB hit: false, PT hit: false 
Virtual: 42252, Physical: 10764, Value:   0, TLB hit: false, PT hit: false 
Virtual: 44770, Physical: 11234, Value:  43, TLB hit: false, PT hit: false 
Virtual: 22514, Physical: 11506, Value:  21, TLB hit: false, PT hit: false 
Virtual:  3067, Physical: 11771, Value: 254, TLB hit: false, PT hit: false 
Virtual: 15757, Physical: 11917, Value:   0, TLB hit: false, PT hit: false 
Virtual: 31649, Physical: 12193, Value:   0, TLB hit: false, PT hit: false 
Virtual: 10842, Physical: 12378, Value:  10, TLB hit: false, PT hit: false 
Virtual: 43765, Physical: 12789, Value:   0, TLB hit: false, PT hit: false 
Virtual: 33405, Physical: 12925, Value:   0, TLB hit: false, PT hit: false 
Virtual: 44954, Physical: 13210, Value:  43, TLB hit: false, PT hit: false 
Virtual: 56657, Physical: 13393, Value:   0, TLB hit: false, PT hit: false 
Virtual:  5003, Physical: 13707, Value: 226, TLB hit: false, PT hit: false 
Virtual: 50227, Physical: 13875, Value:  12, TLB hit: false, PT hit: false 
Virtual: 19358, Physical: 14238, Value:  18, TLB hit: false, PT hit: false 
Virtual: 36529, Physical: 14513, Value:   0, TLB hit: false, PT hit: false 
Virtual: 10392, Physical: 14744, Value:   0, TLB hit: false, PT hit: false 
Virtual: 58882, Physical: 14850, Value:  57, TLB hit: false, PT hit: false 
Virtual:  5129, Physical: 15113, Value:   0, TLB hit: false, PT hit: false 
Virtual: 58554, Physical: 15546, Value:  57, TLB hit: false, PT hit: false 
Virtual: 58584, Physical: 15576, Value:   0, TLB hit: true
Virtual: 27444, Physical: 15668, Value:   0, TLB hit: false, PT hit: false 
Virtual: 58982, Physical: 14950, Value:  57, TLB hit: true
Virtual: 51476, Physical: 15892, Value:   0, TLB hit: false, PT hit: false 
Virtual:  6796, Physical:  6796, Value:   0, TLB hit: false, PT hit: true 
Virtual: 21311, Physical:  9023, Value: 207, TLB hit: false, PT hit: true 
Virtual: 30705, Physical: 16369, Value:   0, TLB hit: false, PT hit: false 
Virtual: 28964, Physical: 16420, Value:   0, TLB hit: false, PT hit: false 
Virtual: 41003, Physical:  8747, Value:  10, TLB hit: false, PT hit: true 
Virtual: 20259, Physical: 16675, Value: 200, TLB hit: false, PT hit: false 
Virtual: 57857, Physical:  3073, Value:   0, TLB hit: false, PT hit: true 
Virtual: 63258, Physical: 16922, Value:  61, TLB hit: false, PT hit: false 
Virtual: 36374, Physical: 14358, Value:  35, TLB hit: true
Virtual:   692, Physical: 17332, Value:   0, TLB hit: false, PT hit: false 
Virtual: 43121, Physical: 17521, Value:   0, TLB hit: false, PT hit: false 
Virtual: 48128, Physical: 17664, Value:   0, TLB hit: false, PT hit: false 
Virtual: 34561, Physical: 17921, Value:   0, TLB hit: false, PT hit: false 
Virtual: 49213, Physical:  8509, Value:   0, TLB hit: false, PT hit: true 
Virtual: 36922, Physical: 18234, Value:  36, TLB hit: false, PT hit: false 
Virtual: 59162, Physical: 10266, Value:  57, TLB hit: false, PT hit: true 
Virtual: 50552, Physical: 18552, Value:   0, TLB hit: false, PT hit: false 
Virtual: 17866, Physical:  9930, Value:  17, TLB hit: false, PT hit: true 
Virtual: 18145, Physical: 18913, Value:   0, TLB hit: false, PT hit: false 
Virtual:  3884, Physical: 18988, Value:   0, TLB hit: false, PT hit: false 
